AccountID,CustomerID,TypeID,Amount,TransactionDate,DeviceID,ATMID,LocationID,TransactionMode,Status,IsFraud,FraudReason
62,62,5,199778.31,2025-05-01 07:59:00,62,15,9,NEFT,Success,0,
697,697,1,140775.55,2025-05-01 08:00:00,697,22,3,NEFT,Success,1,New Device Transaction
281,281,9,15198.31,2025-05-01 08:01:00,281,6,1,NEFT,Success,0,
852,852,1,86988.54,2025-05-01 08:02:00,852,26,10,NEFT,Success,1,Multiple Transactions
294,294,5,166877.63,2025-05-01 08:03:00,294,26,9,NETBANKING,Success,0,
329,329,6,166501.61,2025-05-01 08:04:00,329,26,7,NEFT,Success,0,
579,579,9,71238.04,2025-05-01 08:05:00,579,12,6,IMPS,Success,0,
947,947,9,4394.14,2025-05-01 08:06:00,947,25,4,NETBANKING,Success,0,
189,189,2,145128.23,2025-05-01 08:07:00,189,28,8,RTGS,Success,0,
418,418,8,35866.47,2025-05-01 08:08:00,418,12,5,ATM,Success,0,
61,61,10,125296.26,2025-05-01 08:09:00,61,17,4,IMPS,Success,1,New Device Transaction
229,229,4,16373.69,2025-05-01 08:10:00,229,5,8,RTGS,Success,0,
392,392,4,112786.46,2025-05-01 08:11:00,392,25,9,ATM,Success,0,
190,190,6,35558.51,2025-05-01 08:12:00,190,10,3,NEFT,Success,0,
900,900,5,141051.63,2025-05-01 08:13:00,900,1,5,UPI,Success,0,
407,407,5,11734.2,2025-05-01 08:14:00,407,29,9,UPI,Success,0,
728,728,5,84122.14,2025-05-01 08:15:00,728,3,6,ATM,Success,0,
253,253,2,32713.99,2025-05-01 08:16:00,253,13,8,RTGS,Pending,0,
143,143,10,10646.24,2025-05-01 08:17:00,143,16,7,NETBANKING,Pending,0,
961,961,9,90693.85,2025-05-01 08:18:00,961,11,6,POS,Failed,0,
335,335,8,107408.75,2025-05-01 08:19:00,335,9,9,UPI,Success,0,
420,420,9,55833.82,2025-05-01 08:20:00,420,17,7,IMPS,Success,1,Multiple Transactions
812,812,7,182234.4,2025-05-01 08:21:00,812,23,6,UPI,Success,0,
996,996,2,18971.69,2025-05-01 08:22:00,996,6,9,RTGS,Success,0,
850,850,6,106443.12,2025-05-01 08:23:00,850,2,5,POS,Success,0,
520,520,1,62094.31,2025-05-01 08:24:00,520,21,8,UPI,Success,0,
352,352,9,51835.87,2025-05-01 08:25:00,352,26,2,UPI,Success,0,
181,181,6,55856.04,2025-05-01 08:26:00,181,26,1,NETBANKING,Success,0,
860,860,9,171070.38,2025-05-01 08:27:00,860,27,5,NETBANKING,Success,0,
768,768,9,83608.96,2025-05-01 08:28:00,768,25,8,NETBANKING,Success,1,Multiple Transactions
398,398,10,137851.03,2025-05-01 08:29:00,398,7,7,ATM,Success,0,
249,249,3,115561.61,2025-05-01 08:30:00,249,28,6,IMPS,Success,0,
949,949,4,177661.42,2025-05-01 08:31:00,949,25,6,RTGS,Success,0,
18,18,6,120133.16,2025-05-01 08:32:00,18,23,10,UPI,Success,0,
885,885,10,74767.86,2025-05-01 08:33:00,885,26,3,POS,Success,0,
522,522,9,92145.53,2025-05-01 08:34:00,522,12,10,POS,Failed,0,
614,614,2,67506.97,2025-05-01 08:35:00,614,19,8,NEFT,Success,0,
497,497,9,166500.34,2025-05-01 08:36:00,497,11,8,NEFT,Success,0,
961,961,2,197969.8,2025-05-01 08:37:00,961,17,1,UPI,Pending,0,
632,632,9,29227.1,2025-05-01 08:38:00,632,13,7,NEFT,Success,0,
131,131,5,101653.07,2025-05-01 08:39:00,131,3,3,IMPS,Success,0,
806,806,7,118261.86,2025-05-01 08:40:00,806,12,5,RTGS,Success,0,
702,702,9,70935.64,2025-05-01 08:41:00,702,3,6,ATM,Success,0,
949,949,2,95452.99,2025-05-01 08:42:00,949,2,8,POS,Success,0,
195,195,6,107545.06,2025-05-01 08:43:00,195,5,9,NETBANKING,Success,0,
934,934,2,46860.59,2025-05-01 08:44:00,934,21,3,NETBANKING,Success,0,
773,773,4,199188.15,2025-05-01 08:45:00,773,10,7,NEFT,Success,0,
740,740,6,169930.85,2025-05-01 08:46:00,740,1,9,ATM,Failed,0,
274,274,6,135566.67,2025-05-01 08:47:00,274,14,4,IMPS,Success,0,
449,449,10,42680.81,2025-05-01 08:48:00,449,17,10,IMPS,Success,0,
511,511,10,153016.84,2025-05-01 08:49:00,511,27,2,NEFT,Success,0,
110,110,8,159675.32,2025-05-01 08:50:00,110,19,6,NEFT,Success,0,
114,114,8,30563.72,2025-05-01 08:51:00,114,16,6,RTGS,Success,1,Foreign Location
600,600,10,107748.86,2025-05-01 08:52:00,600,3,2,RTGS,Success,0,
930,930,3,61271.97,2025-05-01 08:53:00,930,21,3,POS,Success,0,
448,448,7,26523.79,2025-05-01 08:54:00,448,2,6,NEFT,Success,0,
196,196,3,119436.71,2025-05-01 08:55:00,196,19,4,POS,Success,0,
820,820,7,12482.24,2025-05-01 08:56:00,820,7,6,NETBANKING,Success,0,
634,634,2,41215.8,2025-05-01 08:57:00,634,6,5,ATM,Success,0,
993,993,1,831.0,2025-05-01 08:58:00,993,13,6,IMPS,Success,0,
514,514,5,20948.67,2025-05-01 08:59:00,514,4,3,IMPS,Success,0,
82,82,7,13320.85,2025-05-01 09:00:00,82,8,1,IMPS,Success,0,
397,397,4,78977.37,2025-05-01 09:01:00,397,27,6,ATM,Success,0,
629,629,6,125652.8,2025-05-01 09:02:00,629,19,3,POS,Success,0,
610,610,1,101190.36,2025-05-01 09:03:00,610,17,7,IMPS,Success,0,
646,646,3,65712.69,2025-05-01 09:04:00,646,18,6,RTGS,Success,0,
541,541,8,43401.78,2025-05-01 09:05:00,541,10,10,POS,Success,0,
164,164,1,178837.26,2025-05-01 09:06:00,164,2,7,POS,Success,0,
553,553,9,55681.06,2025-05-01 09:07:00,553,7,10,NETBANKING,Success,0,
277,277,4,14160.2,2025-05-01 09:08:00,277,16,3,NEFT,Success,0,
803,803,4,190181.94,2025-05-01 09:09:00,803,27,8,IMPS,Success,0,
953,953,5,98707.64,2025-05-01 09:10:00,953,14,8,IMPS,Success,0,
937,937,10,72095.72,2025-05-01 09:11:00,937,25,3,POS,Success,0,
102,102,1,20757.98,2025-05-01 09:12:00,102,15,8,NETBANKING,Failed,0,
581,581,8,157547.03,2025-05-01 09:13:00,581,1,8,UPI,Failed,0,
247,247,3,141577.05,2025-05-01 09:14:00,247,11,1,POS,Success,0,
831,831,3,37884.88,2025-05-01 09:15:00,831,30,9,IMPS,Success,0,
779,779,6,5453.49,2025-05-01 09:16:00,779,24,6,IMPS,Failed,0,
29,29,10,147309.08,2025-05-01 09:17:00,29,27,10,NEFT,Success,0,
787,787,7,89729.91,2025-05-01 09:18:00,787,8,8,IMPS,Success,0,
504,504,7,152348.68,2025-05-01 09:19:00,504,26,5,UPI,Success,1,High Amount Transaction
20,20,8,143863.2,2025-05-01 09:20:00,20,11,9,UPI,Success,0,
907,907,4,78785.02,2025-05-01 09:21:00,907,30,5,ATM,Success,0,
373,373,9,124176.86,2025-05-01 09:22:00,373,23,8,UPI,Success,0,
715,715,4,182137.59,2025-05-01 09:23:00,715,20,1,RTGS,Success,0,
942,942,2,56628.08,2025-05-01 09:24:00,942,25,3,POS,Success,0,
888,888,5,167984.97,2025-05-01 09:25:00,888,30,2,IMPS,Success,0,
126,126,1,185394.91,2025-05-01 09:26:00,126,7,8,IMPS,Success,0,
242,242,8,44589.87,2025-05-01 09:27:00,242,26,4,UPI,Success,0,
485,485,8,54009.74,2025-05-01 09:28:00,485,26,9,RTGS,Success,0,
767,767,1,82852.8,2025-05-01 09:29:00,767,5,10,IMPS,Success,0,
115,115,10,177465.32,2025-05-01 09:30:00,115,28,2,UPI,Success,0,
613,613,4,15991.94,2025-05-01 09:31:00,613,19,8,NETBANKING,Success,0,
715,715,7,154961.32,2025-05-01 09:32:00,715,10,10,NEFT,Success,0,
497,497,1,46786.27,2025-05-01 09:33:00,497,22,1,UPI,Success,0,
22,22,2,115448.48,2025-05-01 09:34:00,22,27,4,NEFT,Success,1,Foreign Location
542,542,3,75643.48,2025-05-01 09:35:00,542,6,7,NETBANKING,Success,0,
731,731,4,17871.59,2025-05-01 09:36:00,731,12,7,IMPS,Success,0,
941,941,2,13368.7,2025-05-01 09:37:00,941,16,7,POS,Success,0,
839,839,8,193940.95,2025-05-01 09:38:00,839,16,1,IMPS,Success,1,Multiple Transactions
610,610,9,113716.96,2025-05-01 09:39:00,610,16,6,NEFT,Success,0,
777,777,2,61635.68,2025-05-01 09:40:00,777,24,6,NETBANKING,Failed,1,Foreign Location
183,183,2,143782.37,2025-05-01 09:41:00,183,5,7,NEFT,Success,0,
350,350,7,154982.57,2025-05-01 09:42:00,350,6,4,NEFT,Success,0,
913,913,7,41017.68,2025-05-01 09:43:00,913,17,10,NEFT,Pending,0,
672,672,7,34914.67,2025-05-01 09:44:00,672,24,10,NEFT,Success,0,
84,84,3,146030.87,2025-05-01 09:45:00,84,16,8,POS,Success,0,
19,19,4,15235.22,2025-05-01 09:46:00,19,9,5,RTGS,Success,0,
646,646,5,103374.86,2025-05-01 09:47:00,646,22,9,ATM,Success,0,
167,167,8,74477.65,2025-05-01 09:48:00,167,2,7,IMPS,Success,0,
689,689,10,15158.74,2025-05-01 09:49:00,689,20,5,NETBANKING,Success,0,
439,439,2,8443.18,2025-05-01 09:50:00,439,11,3,RTGS,Success,0,
122,122,7,135497.78,2025-05-01 09:51:00,122,25,6,NETBANKING,Success,0,
